,CellType,x_global,y_global
embryo1_Pos0_cell213_z2,Gut tube,1632.26303312341,1334.96155034279
embryo1_Pos0_cell215_z2,Gut tube,1632.19888988477,1336.98496472781
embryo1_Pos0_cell216_z2,Gut tube,1632.61392725041,1338.36545402954
embryo1_Pos0_cell217_z2,Erythroid,1632.55018504392,1355.95404602837
embryo1_Pos0_cell218_z2,Gut tube,1632.37744969782,1335.92761921433
embryo1_Pos0_cell219_z2,Endothelium,1632.57252694135,1344.8218644492
embryo1_Pos0_cell22_z2,Endothelium,1618.30875676553,1346.33128199084
embryo1_Pos0_cell221_z2,Erythroid,1632.61669658224,1348.01935249477
embryo1_Pos0_cell224_z2,Gut tube,1632.83188061004,1339.43644552028
embryo1_Pos0_cell226_z2,Gut tube,1633.21653442383,1333.35426635742
embryo1_Pos0_cell227_z2,Endothelium,1633.42147712115,1347.09530957681
embryo1_Pos0_cell228_z2,Gut tube,1632.96547790143,1334.30846630552
embryo1_Pos0_cell229_z2,Gut tube,1633.31454467773,1335.18807983398
embryo1_Pos0_cell23_z2,Haematoendothelial progenitors,1618.46997257393,1357.75561897599
embryo1_Pos0_cell230_z2,Gut tube,1633.36273242188,1336.54400742187
embryo1_Pos0_cell231_z2,Endothelium,1633.29531106989,1340.86348248725
embryo1_Pos0_cell232_z2,Endothelium,1633.33195530909,1359.22863047779
embryo1_Pos0_cell233_z2,Endothelium,1633.51480759702,1346.06812387652
embryo1_Pos0_cell234_z2,Erythroid,1633.7200219766,1354.4696812052
embryo1_Pos0_cell235_z2,Endothelium,1633.51360637386,1344.83116187119
embryo1_Pos0_cell237_z2,Haematoendothelial progenitors,1634.10136589719,1337.81351764875
embryo1_Pos0_cell238_z2,Endothelium,1634.04950614949,1339.7575295041
embryo1_Pos0_cell239_z2,Endothelium,1633.87076054179,1348.48758859044
embryo1_Pos0_cell24_z2,Erythroid,1618.35444709146,1343.26365787968
embryo1_Pos0_cell240_z2,Endothelium,1634.00705160384,1349.89970566027
embryo1_Pos0_cell241_z2,Gut tube,1634.04383562613,1334.18300993546
embryo1_Pos0_cell242_z2,Erythroid,1634.11885662468,1355.69066884566
embryo1_Pos0_cell243_z2,Erythroid,1634.19807555184,1359.66350833953
embryo1_Pos0_cell244_z2,Gut tube,1634.36885420023,1333.14853767316
embryo1_Pos0_cell245_z2,Endothelium,1634.39145562369,1345.08124154373
embryo1_Pos0_cell246_z2,Gut tube,1635.01955065666,1334.89134017151
embryo1_Pos0_cell249_z2,Gut tube,1634.71894174341,1352.14461971775
embryo1_Pos0_cell25_z2,Erythroid,1618.58484665891,1333.84616543384
embryo1_Pos0_cell250_z2,Endothelium,1634.74171872635,1346.26760590856
embryo1_Pos0_cell251_z2,Gut tube,1634.8190840155,1353.72625221769
embryo1_Pos0_cell252_z2,Lateral plate mesoderm,1635.5089844938,1336.44209115059
